id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,Brand Name
12691,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Nike Men Dual Fusion Grey Sports Shoes,Jewellery
12692,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012,Sports,Nike Men Transform Black Sports Shoes,Jewellery
12693,Women,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Nike Women Transform White Sports Shoes,Fashion
12694,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Nike Men Atlntc Bl White Sports Shoes,Fashion
12695,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Nike Men Air Press Black Sports Shoes,Jewellery
12696,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Nike Men Transform White Sports Shoes,Jewellery
12697,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Nike Men Egoli TF White Sports Shoes,Jewellery
12702,Women,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Women Capri White Casual Shoes,Fashion
12703,Women,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Nike Women Downshifter White Sports Shoes,Fashion
12706,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Nike Men Deep Red White Sports Shoes,Jewellery
12709,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Nike Men Air Impetus Grey Sports Shoes,Jewellery
12713,Women,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Nike Women Air Dictate Black Sports Shoes,Jewellery
12717,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men Backboard White Casual Shoes,Fashion
12718,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Nike Men Air Impetus II White Sports Shoes,Handmade
12819,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,Nike Men Air Impetus White Shoes,Handmade
12975,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,ADIDAS Men Allegra Grey Sports Shoes,Handmade
12989,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011,Sports,ADIDAS Kids Duramo Synthetic White Sports Shoes,Fashion
13151,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Puma Men Jersey Blue Polo Tshirts,Fashion
13152,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Puma Men Scribble White Tshirts,Fashion
13153,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Puma Men Ribbon Red Tshirts,Fashion
13154,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Scribble Black Tshirts,Fashion
13155,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Puma Men Vintage No.1 Logo Blue Tshirts,Fashion
13156,Men,Apparel,Topwear,Tshirts,Green,Fall,2011,Casual,Puma Men Jersey Green Polo Tshirts,Fashion
13157,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,Puma Men Jersey Black Polo Tshirts,Fashion
